vehicle_type,age,CO2_emission_factor_(g/mi),NOX_emission_factor_(g/mi),CO_emission_factor_(g/mi),HC_emission_factor_(g/mi),cycle_average_speed_(mph)
1,0,100000,100000,100000,100000,
1,1,100000,100000,100000,100000,
1,2,100000,100000,100000,100000,
1,3,100000,100000,100000,100000,
1,4,100000,100000,100000,100000,
1,5,100000,100000,100000,100000,
1,6,100000,100000,100000,100000,
1,7,100000,100000,100000,100000,
1,8,100000,100000,100000,100000,
1,9,100000,100000,100000,100000,
1,10,100000,100000,100000,100000,
1,11,100000,100000,100000,100000,
1,12,100000,100000,100000,100000,
1,13,100000,100000,100000,100000,
1,14,100000,100000,100000,100000,
1,15,100000,100000,100000,100000,
1,16,100000,100000,100000,100000,
1,17,100000,100000,100000,100000,
1,18,100000,100000,100000,100000,
1,19,100000,100000,100000,100000,
1,20,100000,100000,100000,100000,
1,21,100000,100000,100000,100000,
1,22,100000,100000,100000,100000,
1,23,100000,100000,100000,100000,
1,24,100000,100000,100000,100000,
1,25,100000,100000,100000,100000,
1,26,100000,100000,100000,100000,
1,27,100000,100000,100000,100000,
1,28,100000,100000,100000,100000,
1,29,100000,100000,100000,100000,
1,30,100000,100000,100000,100000,
2,0,100000,100000,100000,100000,
2,1,100000,100000,100000,100000,
2,2,100000,100000,100000,100000,
2,3,100000,100000,100000,100000,
2,4,100000,100000,100000,100000,
2,5,100000,100000,100000,100000,
2,6,100000,100000,100000,100000,
2,7,100000,100000,100000,100000,
2,8,100000,100000,100000,100000,
2,9,100000,100000,100000,100000,
2,10,100000,100000,100000,100000,
2,11,100000,100000,100000,100000,
2,12,100000,100000,100000,100000,
2,13,100000,100000,100000,100000,
2,14,100000,100000,100000,100000,
2,15,100000,100000,100000,100000,
2,16,100000,100000,100000,100000,
2,17,100000,100000,100000,100000,
2,18,100000,100000,100000,100000,
2,19,100000,100000,100000,100000,
2,20,100000,100000,100000,100000,
2,21,100000,100000,100000,100000,
2,22,100000,100000,100000,100000,
2,23,100000,100000,100000,100000,
2,24,100000,100000,100000,100000,
2,25,100000,100000,100000,100000,
2,26,100000,100000,100000,100000,
2,27,100000,100000,100000,100000,
2,28,100000,100000,100000,100000,
2,29,100000,100000,100000,100000,
2,30,100000,100000,100000,100000,
3,0,100000,100000,100000,100000,
3,1,100000,100000,100000,100000,
3,2,100000,100000,100000,100000,
3,3,100000,100000,100000,100000,
3,4,100000,100000,100000,100000,
3,5,100000,100000,100000,100000,
3,6,100000,100000,100000,100000,
3,7,100000,100000,100000,100000,
3,8,100000,100000,100000,100000,
3,9,100000,100000,100000,100000,
3,10,100000,100000,100000,100000,
3,11,100000,100000,100000,100000,
3,12,100000,100000,100000,100000,
3,13,100000,100000,100000,100000,
3,14,100000,100000,100000,100000,
3,15,100000,100000,100000,100000,
3,16,100000,100000,100000,100000,
3,17,100000,100000,100000,100000,
3,18,100000,100000,100000,100000,
3,19,100000,100000,100000,100000,
3,20,100000,100000,100000,100000,
3,21,100000,100000,100000,100000,
3,22,100000,100000,100000,100000,
3,23,100000,100000,100000,100000,
3,24,100000,100000,100000,100000,
3,25,100000,100000,100000,100000,
3,26,100000,100000,100000,100000,
3,27,100000,100000,100000,100000,
3,28,100000,100000,100000,100000,
3,29,100000,100000,100000,100000,
3,30,100000,100000,100000,100000,
4,0,100000,100000,100000,100000,
4,1,100000,100000,100000,100000,
4,2,100000,100000,100000,100000,
4,3,100000,100000,100000,100000,
4,4,100000,100000,100000,100000,
4,5,100000,100000,100000,100000,
4,6,100000,100000,100000,100000,
4,7,100000,100000,100000,100000,
4,8,100000,100000,100000,100000,
4,9,100000,100000,100000,100000,
4,10,100000,100000,100000,100000,
4,11,100000,100000,100000,100000,
4,12,100000,100000,100000,100000,
4,13,100000,100000,100000,100000,
4,14,100000,100000,100000,100000,
4,15,100000,100000,100000,100000,
4,16,100000,100000,100000,100000,
4,17,100000,100000,100000,100000,
4,18,100000,100000,100000,100000,
4,19,100000,100000,100000,100000,
4,20,100000,100000,100000,100000,
4,21,100000,100000,100000,100000,
4,22,100000,100000,100000,100000,
4,23,100000,100000,100000,100000,
4,24,100000,100000,100000,100000,
4,25,100000,100000,100000,100000,
4,26,100000,100000,100000,100000,
4,27,100000,100000,100000,100000,
4,28,100000,100000,100000,100000,
4,29,100000,100000,100000,100000,
4,30,100000,100000,100000,100000,
5,0,100000,100000,100000,100000,
5,1,100000,100000,100000,100000,
5,2,100000,100000,100000,100000,
5,3,100000,100000,100000,100000,
5,4,100000,100000,100000,100000,
5,5,100000,100000,100000,100000,
5,6,100000,100000,100000,100000,
5,7,100000,100000,100000,100000,
5,8,100000,100000,100000,100000,
5,9,100000,100000,100000,100000,
5,10,100000,100000,100000,100000,
5,11,100000,100000,100000,100000,
5,12,100000,100000,100000,100000,
5,13,100000,100000,100000,100000,
5,14,100000,100000,100000,100000,
5,15,100000,100000,100000,100000,
5,16,100000,100000,100000,100000,
5,17,100000,100000,100000,100000,
5,18,100000,100000,100000,100000,
5,19,100000,100000,100000,100000,
5,20,100000,100000,100000,100000,
5,21,100000,100000,100000,100000,
5,22,100000,100000,100000,100000,
5,23,100000,100000,100000,100000,
5,24,100000,100000,100000,100000,
5,25,100000,100000,100000,100000,
5,26,100000,100000,100000,100000,
5,27,100000,100000,100000,100000,
5,28,100000,100000,100000,100000,
5,29,100000,100000,100000,100000,
5,30,100000,100000,100000,100000,
